,fips,state,name,area_2010,unemployment_rate_2019,per_capita_income_2019,"Total publicly funded clinics, 2015 [1]",proportion_votes_democrats_2016,proportion_votes_republican_2016,clinics_per_sqmiles,clinics_per_1000_sqmiles,percent_votes_democrats_2016,percent_votes_republican_2016,Rates_of_adherence_per_1000_population
286,8091,Colorado,Ouray County,541.59,4.2,41160,0,0.514146638,0.406753879,0,0.00,51.41,40.68,208.75
287,8093,Colorado,Park County,2193.85,5.5,36500,0,0.327086384,0.590824793,0,0.00,32.71,59.08,127.98
288,8095,Colorado,Phillips County,687.93,1.4,26494,1,0.186963979,0.768010292,0.001453636,1.45,18.70,76.80,581.49
289,8097,Colorado,Pitkin County,970.7,2.7,54875,1,0.696928853,0.242803504,0.001030184,1.03,69.69,24.28,182.12
290,8099,Colorado,Prowers County,1638.4,5.3,23698,6,0.235636802,0.704700683,0.003662109,3.66,23.56,70.47,552.78
291,8101,Colorado,Pueblo County,2386.1,6.6,25051,9,0.46488222,0.461571733,0.003771845,3.77,46.49,46.16,622.47
292,8103,Colorado,Rio Blanco County,3220.93,6.3,26487,2,0.126018626,0.809662398,0.000620939,0.62,12.60,80.97,449.29
293,8105,Colorado,Rio Grande County,911.96,7.4,24582,1,0.361698251,0.557580175,0.001096539,1.10,36.17,55.76,667.75
294,8107,Colorado,Routt County,2362.03,3,43769,2,0.543639268,0.373874528,0.000846729,0.85,54.36,37.39,283.51
295,8109,Colorado,Saguache County,3168.53,4.4,22511,2,0.496859993,0.409678611,0.000631208,0.63,49.69,40.97,655.53
296,8111,Colorado,San Juan County,387.49,0,34502,0,0.523715415,0.424901186,0,0.00,52.37,42.49,506.44
297,8113,Colorado,San Miguel County,1286.61,2.5,47526,2,0.686615634,0.238923684,0.001554473,1.55,68.66,23.89,295.01
298,8115,Colorado,Sedgwick County,548.04,6.6,27527,1,0.195747801,0.744134897,0.001824684,1.82,19.57,74.41,547.29
299,8117,Colorado,Summit County,608.36,2.9,41281,4,0.591619451,0.315297927,0.006575054,6.58,59.16,31.53,210.01
