fips,"Total publicly funded clinics, 2015 [1]","no. of women with demand, 18 and under to 44",No. of clinics per women with demand,No. of clinics per 1000 women with demand
13267,3.0000,2190.0000,0.0014,1.3699
13269,2.0000,830.0000,0.0024,2.4096
13271,2.0000,1250.0000,0.0016,1.6000
13273,2.0000,970.0000,0.0021,2.0619
13275,1.0000,5240.0000,0.0002,0.1908
13277,2.0000,5110.0000,0.0004,0.3914
13279,2.0000,3220.0000,0.0006,0.6211
13281,1.0000,1010.0000,0.0010,0.9901
13283,2.0000,660.0000,0.0030,3.0303
13285,2.0000,8980.0000,0.0002,0.2227
13287,1.0000,770.0000,0.0013,1.2987
13289,2.0000,780.0000,0.0026,2.5641
13291,1.0000,1650.0000,0.0006,0.6061
13293,2.0000,2970.0000,0.0007,0.6734
13295,3.0000,7570.0000,0.0004,0.3963
13297,3.0000,10720.0000,0.0003,0.2799
13299,3.0000,3970.0000,0.0008,0.7557
13301,2.0000,490.0000,0.0041,4.0816
13303,3.0000,1970.0000,0.0015,1.5228
13305,1.0000,3230.0000,0.0003,0.3096
13307,1.0000,230.0000,0.0043,4.3478
13309,1.0000,520.0000,0.0019,1.9231
13311,2.0000,2750.0000,0.0007,0.7273
13313,2.0000,12360.0000,0.0002,0.1618
13315,2.0000,680.0000,0.0029,2.9412
13317,1.0000,900.0000,0.0011,1.1111
13319,2.0000,880.0000,0.0023,2.2727
13321,1.0000,2320.0000,0.0004,0.4310
15001,15.0000,21720.0000,0.0007,0.6906
15003,19.0000,126600.0000,0.0002,0.1501
15005,u,0.0000,#VALUE!,#VALUE!
15007,3.0000,7900.0000,0.0004,0.3797
15009,7.0000,19020.0000,0.0004,0.3680
16001,10.0000,56160.0000,0.0002,0.1781
16003,1.0000,270.0000,0.0037,3.7037
16005,7.0000,10900.0000,0.0006,0.6422
16007,2.0000,560.0000,0.0036,3.5714
16009,3.0000,750.0000,0.0040,4.0000
16011,4.0000,5180.0000,0.0008,0.7722
16013,u,2170.0000,#VALUE!,#VALUE!
16015,u,570.0000,#VALUE!,#VALUE!
16017,5.0000,3900.0000,0.0013,1.2821
16019,2.0000,13860.0000,0.0001,0.1443
16021,3.0000,1040.0000,0.0029,2.8846
16023,1.0000,230.0000,0.0043,4.3478
16025,1.0000,100.0000,0.0100,10.0000
16027,9.0000,26420.0000,0.0003,0.3407
16029,1.0000,630.0000,0.0016,1.5873
16031,1.0000,2630.0000,0.0004,0.3802
16033,1.0000,100.0000,0.0100,10.0000
16035,3.0000,570.0000,0.0053,5.2632
16037,1.0000,320.0000,0.0031,3.1250
16039,3.0000,3310.0000,0.0009,0.9063
16041,1.0000,1480.0000,0.0007,0.6757
16043,2.0000,1350.0000,0.0015,1.4815
16045,2.0000,1690.0000,0.0012,1.1834
16047,u,1480.0000,#VALUE!,#VALUE!
16049,2.0000,1180.0000,0.0017,1.6949
