,fips,No. of clinics per 1000 women with demand
625,17063,#VALUE!
626,17065,#VALUE!
627,17067,0.5882
628,17069,6.4516
629,17071,3.2258
630,17073,0.4040
631,17075,#VALUE!
632,17077,0.6494
633,17079,#VALUE!
634,17081,0.2551
635,17083,0.4149
636,17085,#VALUE!
637,17087,3.0612
638,17089,0.1587
639,17091,0.1498
640,17093,0.1243
641,17095,0.3795
642,17097,0.1735
643,17099,0.0740
644,17101,0.7519
645,17103,0.3058
646,17105,0.2513
647,17107,#VALUE!
648,17109,0.3223
649,17111,0.2070
650,17113,0.1881
651,17115,0.2445
652,17117,#VALUE!
653,17119,0.7937
654,17121,0.6711
655,17123,#VALUE!
656,17125,0.0874
657,17127,0.1542
658,17129,#VALUE!
659,17131,#VALUE!
660,17133,#VALUE!
661,17135,#VALUE!
662,17137,0.5263
663,17139,#VALUE!
664,17141,#VALUE!
665,17143,0.2165
666,17145,0.5495
667,17147,#VALUE!
668,17149,0.6803
669,17151,2.8571
670,17153,3.6364
671,17155,#VALUE!
672,17157,#VALUE!
673,17159,0.6757
674,17161,0.3697
675,17163,1.2766
676,17165,0.1703
677,17167,#VALUE!
678,17169,#VALUE!
679,17171,#VALUE!
680,17173,0.3734
681,17175,#VALUE!
682,17177,0.2198
683,17179,0.0679
684,17181,1.2422
685,17183,0.1202
686,17185,0.9174
687,17187,#VALUE!
688,17189,#VALUE!
689,17191,0.6494
690,17193,2.3438
691,17195,0.1736
692,17197,0.0359
693,17199,0.5391
694,17201,0.1505
695,17203,#VALUE!
696,18001,#VALUE!
697,18003,0.0868
698,18005,0.3125
699,18007,#VALUE!
700,18009,#VALUE!
701,18011,0.1350
702,18013,#VALUE!
703,18015,0.4831
704,18017,0.2494
705,18019,0.2123
706,18021,#VALUE!
707,18023,#VALUE!
708,18025,#VALUE!
709,18027,0.2762
710,18029,#VALUE!
711,18031,#VALUE!
712,18033,0.3333
713,18035,0.3582
714,18037,0.2217
715,18039,0.2090
716,18041,#VALUE!
717,18043,0.2191
718,18045,#VALUE!
719,18047,#VALUE!
720,18049,#VALUE!
721,18051,#VALUE!
722,18053,0.1196
723,18055,#VALUE!
724,18057,0.0784
725,18059,0.1186
